text,label
"Turashobora kubikora, kandi turabikora neza cane.",kirundi
Iyi ni ingere y'ikirundi.,kirundi
Amakuru yanyu y'uno munsi?,kirundi
Igisagara ca Bujumbura nico gisagara c'ubutunzi.,kirundi
Murakaza neza ku rubuga rwanje.,kirundi
Ndakunda cane umukate n'amata.,kirundi
Ikirundi ni ururimi rwiza cane.,kirundi
"Mwaramutse, ubuvyutse gute?",kirundi
Ndashaka kuja ku isoko.,kirundi
Iki gitabu kiraryoshe.,kirundi
Ufise abana bangahe?,kirundi
Ndi umunyeshure muri kaminuza.,kirundi
Uburundi ni igihugu ciza.,kirundi
Birashoboka ko nshobora kubifasha.,kirundi
Ndananiwe cane uyu munsi.,kirundi
Umuco w'Uburundi urahambaye.,kirundi
Ibi birahambaye cane.,kirundi
Ndashaka amazi yo kunywa.,kirundi
Urakoze cane ku bufasha bwawe.,kirundi
Ejo ni umunsi w'ikiruhuko.,kirundi
Witwa nde?,kirundi
"Ndashonje, ndashaka kurya.",kirundi
Uvuga icongereza?,kirundi
Ibi ni bangahe?,kirundi
Imodoka yanje yara ponyi.,kirundi
Turaja mu gisagara.,kirundi
Abana bariko barakina hanze.,kirundi
Ndakunda umuceri n'ibiharage.,kirundi
Uyu musore arasara.,kirundi
Turashima Imana ku bw'ubuzima.,kirundi
"Uburundi buhana imbibi n'Urwanda, Tanzaniya, na Kongo.",kirundi
Ikirere kiracereye uyu munsi.,kirundi
Uyu mwigeme ni mwiza cane.,kirundi
Ndi mu nzira nza i muhira.,kirundi
Ufise inzu nini.,kirundi
Gitega ni umurwa mukuru w'ivyicaro vya politike.,kirundi
Ufise imyaka ingahe?,kirundi
Ndimwo ndiga ikirundi.,kirundi
Ndashaka kugura amatike.,kirundi
Ibi bintu ni vishasha.,kirundi
Turakora twivunye.,kirundi
Ndakunda kumviriza indirimbo.,kirundi
Sintavyumva.,kirundi
Vuga buhoro buhoro.,kirundi
Ibi biraryoshe cane.,kirundi
Umu muryango wanje urakomeye.,kirundi
Iki ni ikibazo gikomeye.,kirundi
Akaranga k'Uburundi ni keza.,kirundi
Isoko riri hehe?,kirundi
Iki ni igitangaza.,kirundi
"Tugende, birashoboka.",kirundi
Iki ni ikijambo c'ikirundi.,kirundi
Ndi umu developer w'amasitome.,kirundi
Iyi ni telefone yanje.,kirundi
Ndakunda kuraba amareresi.,kirundi
Uyu mwana aricenge.,kirundi
Iki gihugu gifise amateka maremare.,kirundi
Ndashaka kumenya ukuri.,kirundi
Uyu ni umugenzi wanje.,kirundi
Ndashaka kuja gusenga.,kirundi
Uyu mwaka turacira akarihe.,kirundi
Turwanye ubukene.,kirundi
Amahoro mu gihugu.,kirundi
Ndakunda indirimbo za kera.,kirundi
Umuntu ni nk'undi.,kirundi
Iki ni ikintu gishasha.,kirundi
Ubuhinga bwa none burahambaye.,kirundi
Ndashaka kumenya indimi nyinshi.,kirundi
Iyi ni imvura nyinshi.,kirundi
Amagara ni ubukungu.,kirundi
Iki ni ikibanza ciza.,kirundi
"Bienvenue sur mon portfolio, je suis développeur.",french
Le français est une langue officielle au Burundi.,french
J'apprends le traitement automatique du langage naturel.,french
Quel temps fait-il aujourd'hui à Gitega?,french
"Bonjour tout le monde, j'espère que vous allez bien.",french
Ceci est un exemple de phrase en français.,french
Je suis très heureux de faire votre connaissance.,french
Où se trouve la gare la plus proche?,french
Quel est votre plat préféré?,french
Je ne comprends pas ce que vous dites.,french
"Pouvez-vous répéter, s'il vous plaît?",french
Le lac Tanganyika est le lac le plus profond d'Afrique.,french
J'étudie l'informatique à l'université.,french
Ce projet est très important pour moi.,french
Avez-vous des frères et sœurs?,french
J'aimerais acheter un souvenir.,french
L'intelligence artificielle est un domaine fascinant.,french
C'est une très bonne idée.,french
"Je dois partir maintenant, au revoir.",french
La musique burundaise est très rythmée.,french
Il y a beaucoup de circulation en ville.,french
J'ai oublié mon portefeuille.,french
Quel est le mot de passe du Wi-Fi?,french
Je cherche un bon restaurant.,french
Le match de football commence à quelle heure?,french
Bonne chance pour votre examen.,french
J'ai besoin d'un médecin.,french
C'est un plaisir de vous rencontrer.,french
Mon ordinateur ne fonctionne pas.,french
La culture est très importante.,french
Nous devons protéger l'environnement.,french
Je suis fatigué après cette longue journée.,french
Où puis-je trouver un taxi?,french
J'aime me promener au bord du lac.,french
La capitale politique du Burundi est Gitega.,french
C'est une belle journée pour commencer.,french
"Je voudrais un café, s'il vous plaît.",french
L'éducation est la clé du succès.,french
C'est un bâtiment historique.,french
J'aime lire des livres sur l'histoire.,french
Quelle est la date aujourd'hui?,french
J'ai besoin d'aide pour ce projet.,french
Je suis en train de créer un modèle d'IA.,french
Ce n'est pas une blague.,french
La vie est belle.,french
Je ne parle pas très bien français.,french
C'est très gentil de votre part.,french
Je vais au marché pour acheter des fruits.,french
Le silence est d'or.,french
J'apprends le code Python.,french
Mon téléphone a besoin d'être rechargé.,french
Ceci est une autre phrase.,french
La programmation est ma passion.,french
Je suis d'accord avec vous.,french
Ce film était incroyable.,french
Je pense que c'est une bonne solution.,french
Le monde change rapidement.,french
Il faut être patient.,french
Je suis très optimiste pour l'avenir.,french
Je travaille sur un projet de RAG.,french
J'aime la couleur bleue.,french
La connaissance c'est le pouvoir.,french
Je dois me réveiller tôt demain.,french
C'est une question compliquée.,french
Habari gani? Mimi ni msanidi programu.,swahili
Ninajifunza kuhusu NLP na LLMs.,swahili
Kiswahili ni lugha muhimu sana katika Afrika ya Mashariki.,swahili
Karibu kwenye mradi wangu wa kwanza.,swahili
Hii ni sentensi ya mfano ya Kiswahili.,swahili
"Jambo, ulimwengu unakwenda aje?",swahili
Asante sana kwa msaada wako.,swahili
Tafadhali naomba maji ya kunywa.,swahili
Sijui unaongelea nini.,swahili
Unaenda wapi sasa hivi?,swahili
"Chakula kiko tayari, karibu tule.",swahili
Leo ni siku nzuri.,swahili
"Nimechoka sana, nahitaji kupumzika.",swahili
Unaongea Kiingereza?,swahili
Hii ni shilingi ngapi?,swahili
Mimi ni mwanafunzi wa chuo kikuu.,swahili
Simu yangu haina chaji.,swahili
Kazi yangu ni kutengeneza programu.,swahili
Ninapenda kusikiliza muziki.,swahili
Uwanja wa ndege uko wapi?,swahili
Unaweza kunisaidia tafadhali?,swahili
"Sielewi, unaweza kurudia?",swahili
Safari njema kuelekea nyumbani.,swahili
Mkutano utaanza saa ngapi?,swahili
Naweza kupata wapi chakula kizuri?,swahili
Hali ya hewa ni nzuri leo.,swahili
Nahitaji kununua vocha ya simu.,swahili
Ziwa Tanganyika ni kubwa sana.,swahili
"Ninapenda matunda, hasa maembe.",swahili
Hii ni mara yangu ya kwanza hapa.,swahili
Gari langu limeharibika.,swahili
Kuna duka karibu na hapa?,swahili
Mimi natoka nchi ya Burundi.,swahili
Elimu ni ufunguo wa maisha.,swahili
Nimefurahi kukutana nawe.,swahili
Unafanya kazi gani?,swahili
Hii ni kompyuta yangu.,swahili
"Usijali, kila kitu kitakuwa sawa.",swahili
Tunaweza kuonana kesho.,swahili
"Samahani, nimechelewa.",swahili
Ninapenda kuangalia filamu.,swahili
Una watoto wangapi?,swahili
Hili ni jambo la muhimu.,swahili
Tanzania ni jirani yetu.,swahili
"Asante kwa chakula, kilikuwa kitamu.",swahili
Soko liko wazi leo.,swahili
Ninahitaji kulala mapema.,swahili
Hii ni nambari yangu ya simu.,swahili
Mimi ni mgeni hapa.,swahili
Jina lako ni nani?,swahili
Unajisikiaje leo?,swahili
Nahitaji msaada wako.,swahili
Mvua inanyesha sana.,swahili
Kuna mtu yeyote hapa?,swahili
Hii ni fursa nzuri.,swahili
Ninajifunza lugha mpya.,swahili
Habari za asubuhi?,swahili
Uko na njaa?,swahili
Hii ni rahisi sana.,swahili
Siwezi kuamini hili.,swahili
"Hello, this is my first machine learning model.",english
"I am a developer from Burundi, learning about RAG.",english
This is an example of an English sentence.,english
Natural Language Processing is a fascinating field.,english
My portfolio will showcase my new skills.,english
English is widely spoken in technology.,english
I am fine-tuning a multilingual BERT model.,english
How are you doing today?,english
This is a very difficult problem to solve.,english
I need to upload this data to my Colab notebook.,english
The model's accuracy is not very good right now.,english
We need to add much more data to improve the results.,english
This is a great opportunity to learn.,english
My name is Samandari and I am a developer.,english
I live in Bujumbura.,english
Where can I find the best coffee?,english
This process is called fine-tuning.,english
The system is currently down.,english
I love to write code in Python.,english
Hugging Face is an amazing platform.,english
What time is our meeting?,english
I don't understand the question.,english
Could you please repeat that?,english
"This is a warning, not an error.",english
The training process might take a few minutes.,english
I am very excited about this project.,english
This is the final version of the code.,english
I need to commit these changes to GitHub.,english
This is a test to see how the model performs.,english
My computer is running very slowly.,english
Let's debug the code together.,english
I am creating a Gradio application.,english
The user interface looks good.,english
We need to check the log files for errors.,english
This model is biased towards English.,english
I am very proud of this work.,english
This sentence is in English.,english
What is your favorite programming language?,english
I need to install the dependencies.,english
The weather is very nice today.,english
I'm going to the market to buy some food.,english
My family is very important to me.,english
I like listening to music.,english
This movie was really interesting.,english
I am reading a book about artificial intelligence.,english
My phone battery is low.,english
This is a very important update.,english
I need to wake up early tomorrow.,english
This is a much better dataset.,english
This project will look great on my portfolio.,english
I need to buy a new laptop.,english
The internet connection is unstable.,english
This is a simple text classification task.,english
I am building a model from scratch.,english
The data must be cleaned before training.,english
This is a sentence for the training set.,english
I will test the model on new data.,english
"This is not a joke, this is serious.",english
I am confident this will work.,english
The next step is to deploy the model.,english
This is a really cool feature.,english
"I have to go now, goodbye.",english
This is a very long sentence used for testing.,english